id,ti,t
6b990a6b-7543-4fe4-b7b8-2c8f6d183373,643,33
da3bbb0d-1c55-470c-80dc-658e8dbb03fd,859,76
52fc4f88-4ad0-4c6f-9b35-7749b70476c1,881,23
e7b6c29b-9f2f-4967-a35b-9583d2df69bd,39,16
24194e18-018e-4bc1-9620-ce896c76a68f,416,91
01f67f0a-68c0-416c-ac3a-aceaae7be446,667,85
f4697c7c-9267-4df4-b796-910ef09ab297,784,58
a1427ce5-4e72-4d84-affa-e929260586f7,261,24
555b61e6-4f25-43c1-a9bf-1553f4e40ed4,317,66
42f70ea0-ebcb-4ed3-8cf1-35f6ba948f5f,861,86
5c5954d3-6078-4776-800d-aa8733f4e4a7,204,98
4621a8a9-ad83-4c60-93c7-2f24a207e125,400,92
1f575ca9-fe8a-4a63-950d-e8a97a8a8dc9,723,32
294251b3-661d-4443-a173-63ce85fdc9f1,417,72
571494b9-2ecc-476f-99da-71be87f63ae0,330,2
9dc926c7-833a-45a1-a146-438ac1a7b092,540,15
e99489ff-59d6-4964-a1dc-d10775cc4407,519,82
55549b5e-cd25-4327-9091-1a1af604a9fa,92,83
0ec835c3-7350-48ca-aa33-8bd2427f3e43,454,11
8e035d5d-514d-40a8-a86a-3bfc97b5de0d,74,74
7b53c338-6532-45ad-b544-c75e4b51ef99,513,80
800d5d85-8403-4466-bb6a-8557cb153e1a,648,28
62e47628-541a-4933-8c5b-f72df7134c02,283,25
92409422-fc67-4d04-870a-16977d6854d8,523,3
3a9091c9-2479-4564-b2cf-972d1ebfc329,251,17
b044e4ca-b807-4c10-8800-d31b534368c6,164,39
2b72755c-1e3b-45ea-900a-432da7c2e5ad,479,31
046c2028-6873-409b-b9a1-1f789e3fbb28,763,51
bf8d5f9d-a2c2-47f9-9560-6d31ee53d46d,666,34
40bbe0f6-fd7e-4a5d-8d56-786c6ebe2ad2,739,10
f29a1fc0-cd94-477e-ac8f-162f12d2ff81,685,37
61b5193f-3d16-4f14-853e-42b7d6d30064,450,100
d237bdc6-55d6-4dd5-af2c-f954c777d76a,421,41
3107db63-0622-44e1-b936-f327a7dee1db,883,77
26457014-5e27-4b85-86c3-20b6c29c0f63,451,93
93bc2744-35c6-48bb-b866-a76397a3dc43,417,69
40e4a807-dc28-4f92-ad53-82469cf9a693,820,60
6047e358-ef0f-459b-9649-a39cff966f71,754,22
5d2fee84-86db-45b1-bb82-9b3a7a5dc2a7,503,89
d64ec1c7-919f-48ed-82b2-30971b762369,926,28
121ecc85-e256-4d30-87fb-365d699c112d,567,8
9a5d7657-0cab-41ea-a765-7b46e640d0f6,31,8
3e91d884-1089-4793-91d0-5db466194a40,740,72
aed7dde3-16b1-456b-8f58-e501a9e5a188,489,51
35df61d1-757f-4e1b-b904-fcdaaadc92b9,872,50
81ff6d93-67c6-4d9d-a504-92985b3ba50b,962,21
17e9b5fe-23f3-4ca1-aa50-36eb7a07bb1a,762,20
5180cdbd-fcdc-43b4-ba78-bdc517f8f4cc,915,30
cf696e31-e028-4866-a915-1d82d388bed9,742,36
94618438-1325-4794-9174-564b047c95b7,889,53
9a8a227d-3c89-49e3-964b-1653ad5bcedb,962,16
ff6a450f-466b-484e-94b7-e8ebe6cf39ed,760,45
824e0844-de32-4b93-a000-a0ee7b3e7aa0,524,29
9a5ad6ba-0f7a-4f3b-b62b-e51c461e43b5,185,100
ee9b88ee-e154-4b07-bb11-0ed44c1a729c,428,73
52bbb697-0a67-4a4f-b770-53a35c07fba7,326,20
b9aa9eae-6f89-44ab-8778-b7cc6010b759,102,15
25f457ec-35dd-4fd8-87e3-5f29dad72978,565,85
a0f86eac-7d84-475a-9bc8-6797f4880cd3,612,87
3cbff988-7f7e-40ac-85d1-6e5fdd7b7d8f,240,32
15592518-b182-4e71-abc0-fd3914150ac4,562,91
c5ffac92-945a-4ec9-b755-7c171a480945,813,94
e650dcf7-80e5-4069-96a5-a02e357f92f9,415,39
808e70b7-d28a-4a00-920a-120b89b10ab6,175,2
ee3067fa-a13a-4980-a906-e2ac86909d5b,496,43
064b58e2-c1fa-4888-a0d6-c955e1c51b73,142,77
869091f8-7baf-473d-ab21-e0acc7aa30ce,226,42
c1b0d2cb-ed26-4fb8-9fe4-50cf49c4f6c4,222,78
fc660552-dc84-4384-9b34-0dcc64be9338,481,32
4dc11a33-3aaf-42c3-9cf0-b7603a6a6563,442,34
1a31c281-c57f-459e-916b-2f2c38686acd,272,83
14b19b85-852c-4e2d-9201-0497daf62bc8,449,73
4b6fbbca-3dec-428c-80c5-4b662c1bc01e,770,45
839812c5-e476-4b7f-b8bf-b77694fd309a,806,41
08139556-d533-4869-9a5b-e7fb1156b48d,11,88
