id,ti,t
b64675ad-f4a3-4cd3-a90a-28e8b7b738da,202,13
764b6133-872c-40f8-bb0b-3a41f868138c,473,17
a2f5fbf7-51a1-4638-a9d7-c75270407e61,776,10
bf7e8cf3-0223-4e18-9594-cf2bfebaaed1,674,16
d2dccacf-477d-463f-859d-f3eb0ba14844,323,7
4dba2562-f4de-4ea0-937a-44d2c2fbca23,665,6
e0bbc4dc-7a4c-41a3-a7f1-b19011d92d92,696,1
d04f8296-c862-4ea6-8f86-b3f92b92417b,916,8
825ae75f-6a30-4fd8-942e-fd38b19e2d66,157,1
05112aa4-237e-4326-a3c0-1ddf861bb8ca,560,3
88355f3c-da8f-402d-bac9-3ccc36bbf977,678,23
580ec55c-92e8-4965-b0a8-2bddf1952277,928,5
4ca634a0-fe66-43b2-8b11-56d2b617115f,207,14
96d209bd-9cec-483f-b898-509cde320f34,659,11
62fb18e3-e116-489b-bd8d-bb5208bdfddb,473,23
9fd3d063-34d9-41da-acd9-e825e8df027d,602,3
4d3b671e-adc7-424d-9fd8-82dd116d42ac,724,25
27f34d2a-818d-4913-a842-0316c01b4e38,233,23
f9899795-4793-45ba-bba8-d77fb8be9fa5,672,4
001bec84-0413-4a13-9a57-f1fb11704933,30,16
b110162b-c121-40c8-851c-d466e5fd5369,723,10
114e097d-acf3-4d76-8ad5-c0c29516b2b1,84,6
bebb3e95-a041-4625-8054-b73684499633,297,1
7e85e9dd-6a5a-4605-aad1-18f69725b427,940,11
2dabed5f-cd10-4edb-b4ce-61044e416391,967,6
db973a37-c9a3-4a21-b4f8-e2f6a052628b,202,10
a3211b82-8f0f-4464-837b-d487c5ca3e8e,838,19
a71f23fd-b7e9-4b1e-861a-86d2541ca00e,936,10
03bc2619-a59b-44d4-b247-9d7e04bb87c6,906,14
4bb4145c-22e5-420e-bd79-d5dd4dce63e8,633,1
3427cac5-6ebf-4b13-a765-ddf4cc3fcb68,297,16
fe2565ad-94b2-438f-a1dc-0e1711035dff,314,2
66c119ed-87e5-4120-b726-be0987f40f4d,577,10
473880c0-d9da-42d6-b846-3b30f4f8728e,570,12
8328e777-3f41-439f-8e49-1507763fc1a9,483,3
b689d485-b942-4cdc-a4d4-fac359345847,107,21
8fdeba7b-1778-45e6-a729-d69e21e94717,246,15
b362c842-4357-4e2a-872a-c8207a9480f7,496,8
7fd8db8e-b356-408a-a67d-66a1992102cc,906,5
39019fbd-dab5-4d28-a364-f8f1e4ca49e0,891,14
7b5775ea-ccb0-4ccc-b463-88bc6377a287,620,6
4ea433a1-9be1-496f-8d8d-ca935a7c04d5,852,5
18d7854a-a636-46fc-81a1-04b6d34d408c,220,14
cf5c5625-b81f-4aa9-ae7a-e709905fbaaa,616,6
0480c83e-57ab-4f45-b14f-50d2c48607c0,736,25
089f3529-ce6b-4f7c-819b-9a10e15da1c1,598,16
1953c23e-77cb-493a-8f53-099e48a1c7bd,483,6
87a9a90f-6b3e-4fe3-9ad0-4bf72e5d8ccd,986,4
14a23e69-3684-4d8a-be42-50ada1544160,957,7
04a6b8be-d5c4-4d48-9453-e59f8ab636eb,775,1
1c6ef446-8df1-4dbf-9d93-722f568ebf3a,943,1
47f7c3f9-4830-40d0-bc7e-ca3a51c754ec,332,4
3c673ae8-d9f4-47ad-af13-e208d5fa0c7e,893,17
ea6213d8-1268-4602-9477-b70d8ca85055,206,2
cd04f838-43a2-4a39-97e6-25fc27b31333,517,9
d39e2d9a-c9ae-4c48-bdc7-9c4273804595,624,11
fc38e68c-139b-4a09-9b6a-0633158caa06,387,15
19890673-1e7a-4ce3-be51-b8cd2142ad65,738,6
a3775344-81dd-4174-a0f8-4e4e61a2638e,694,6
29824798-89f1-46ac-92ce-9d50d1182e31,475,13
f503f3b0-abd1-4970-a364-f7f8381fe4e8,864,2
2cc6a030-7c7c-4dde-934c-123498b1a8bb,191,20
3840eac9-2d3b-4f10-b3a7-badd4264256b,148,19
a485eed0-bf6a-4292-8e0c-2ca4faaa3f85,673,12
8c0ad6ee-149d-4934-a1d2-135a60eaa57d,751,19
63071735-7c0a-4c59-82fb-fbf5d22e59ea,528,3
b90725b8-4800-4553-860b-b7eeb4fbb9fb,252,7
1ca9a749-5434-4227-90fb-2c8661adb294,237,11
d273d75c-e1af-4bde-839b-790836313e28,943,21
0a808ad4-9ff4-40f6-97c4-f747a3ef525b,985,18
529eeb97-d795-46f3-858f-662b0dd95a1d,81,1
64a84f7b-f517-4777-a02a-6cd83349ea10,854,18
1c3527c5-2a5f-4c1e-b76a-ea69eb601a48,557,11
07b50cbf-cc37-439d-9467-046d1178f0cd,539,7
dc7fa1c0-b214-493c-bdff-b9f125ffb53f,407,20
000090d2-a596-4a07-a5d1-c97d95af98db,584,21
4c9784d6-cfdc-469d-aefe-cdb093c5d0b0,750,25
b1cd6f85-86df-4759-a4f7-133ddbd6d859,188,21
f3927a8c-f0d0-4e21-a326-0850bc038d30,945,23
69fa5bc9-f2dc-48d9-864a-4a8f85678813,15,9
aca5da74-efb1-4ead-bfbf-34a15fb8849f,479,23
3a5af330-8f83-45f4-88a7-ab5ce8e4ad7f,361,21
c7f84b36-3ef1-4246-b972-92af1ea6d6f1,362,14
be892160-8571-4b00-b25e-42a3dbca322a,127,24
311f215a-b2ce-46c5-a533-0e2394ef2711,22,6
6a9de8a9-f27c-498a-a56d-d3ce39d28a63,713,25
6812b78f-31a3-4a37-82ff-6e142a129eea,229,14
14305821-52a4-42fc-8416-faa0bcea6047,109,20
158456d2-0057-480b-8646-384b6880265a,965,18
c1ff2ebf-fd14-4572-adb7-fb437c436f43,682,22
c9eb2ddd-561a-45f6-98f8-5637ca7e15b9,339,5
e8ae00d9-babf-44f0-9ddd-a5bc200cddfa,801,2
d86cc1f1-eb6c-4a4b-872f-27a2ccb6da70,723,7
3941a5ac-f798-44d8-b489-d9f9b2d7e273,892,14
4edab294-2690-4e87-87a1-5dc78adad9f1,677,19
f0b0804f-0fff-4fef-9fa9-72aa30cc14c8,826,4
6f39bc4f-f719-4693-8f79-d879f37f19eb,626,14
726042cd-3a1f-4aff-9cbb-ef8571f17789,130,14
56ca373d-7f53-44c2-815b-0f52c8142953,681,24
7b5329dc-0691-42fa-ac2d-061f8dbb3468,352,19
9c199cf9-eba0-40e1-9e1f-c0a0a9601114,264,4
f48d5a18-161c-4cff-8898-df14304d01a4,536,8
00ccd4c8-0238-4ccd-89f1-bbf4d3c8c83b,115,22
0528e534-1ab6-4fdd-9dad-161ab5f06cbc,729,14
7fe793ce-66b6-434f-9662-0b29d8841da1,223,17
c14a3d10-73ca-4b79-b450-967304171481,22,6
1dca8803-bb9d-4b62-aab2-d5a227feb7b1,711,5
0d11dace-f142-4114-b464-311d7b4ce250,385,5
413754cc-e21b-4485-b7b9-df7d6c7c58a8,2,7
4d9b5897-92eb-4939-918c-e1de4e493fa3,945,1
1eb1edda-5108-44af-bf05-15d08d0dba30,486,24
fd6138e3-2a0e-4465-8c62-16fcaafd100a,122,4
b8b66560-fec6-4385-a59c-f05370d445d1,637,14
67f13b1a-8f7f-4bc4-aef7-5c93733764a5,841,20
98c56d65-f22d-40dc-9059-d387c6ec7662,919,2
987ef7d5-8504-4f21-abe4-00c7d4db7e41,183,17
99a0b2cf-f9da-4805-9298-d54346685bf9,761,2
f6fd7eb2-b730-42ae-87bc-c9a3841cc391,718,12
2f8e5b81-83bc-44c5-a363-f9fc7256c387,989,4
ee88229e-48ec-4f20-9f9d-4c90602bf820,917,23
7ecb1583-bb97-4f0e-8a55-87a7a623831f,21,15
3b8df0f3-e8cb-45a5-bee5-5c1b55581a84,137,23
dd22dc6d-fce3-4b50-b131-4c69e2b06a25,713,2
89a14636-fa73-457a-a97e-94b94ec3e146,543,1
c36a0954-9805-416c-ba3e-76a8497d68f6,137,4
7d864ce7-6c93-4a85-b9fa-2936878634a1,572,5
1747c5ba-858b-4a1a-8eb3-29e4563dde5c,725,15
7b8c2a1d-61c8-4bb8-a6e6-ad7b5ae9fee7,158,6
2ff9b751-b98a-4d98-85b0-d37378fb32a9,930,8
08968714-0875-4ff9-88ef-94e4850cb643,296,6
753dd23a-399b-4882-a606-60d6324e4f7b,83,14
a07ed6fe-78d3-4101-82fc-3d46169c430e,779,20
9721c0cf-2b8b-466e-b6e8-12a27f67216a,14,15
eba91d92-5a07-4387-a6d7-9a5cfb0492c8,295,4
57979a65-ef10-466b-99e1-57b5ef4b778e,242,11
9c950e92-7a87-4db5-a3d7-d5babe30b29a,89,18
6cb55288-587c-4b6c-8e1a-7714a6a50343,866,21
937ab7c9-2bb8-4f68-98e0-d00552dad9e8,52,8
13bc2033-7433-48dd-9533-e9d4948120d0,679,21
7d3087d1-9d98-4f16-b8bd-e74bc7f38e9c,433,2
22853286-3ece-4849-8624-f6d9bbea006f,483,7
57fabb14-f398-47c3-9ade-12d5c595d973,496,14
dd1646e6-a00d-4daa-b420-eed12ac8a757,744,9
43c60424-ed2e-4629-b30c-515b7762cf73,274,13
00265ac3-e34a-426a-b0ef-981a4dd4c3cd,313,6
c64a2427-54b4-4a81-b473-305ce57061be,14,9
bb238c1d-26b5-4c19-912d-5306555bcbfb,810,5
a081cd63-3df4-4ff8-9213-2e75c0157557,385,20
fad5544c-778e-48f7-8d2e-3a2d3e835d53,818,15
cf4a022a-cd32-40ae-bf00-1df589d30269,476,8
1cee61c2-e046-4e1a-8b37-c86808042ad6,367,10
29752b69-75ee-4bfa-9844-e39226b596c3,359,7
80b1eefc-e933-4297-b8b8-c89ae8fac1ba,647,18
1d6eb0c6-9858-425b-a065-856466413fa0,812,21
3f0f69fe-2b6b-4aff-8353-9ee2b5e6b819,377,9
03300076-c548-46ea-b72e-22c32b7d2931,216,8
