id,ti,t
90e66f6a-05c6-4331-8984-ce217badd072,855,22
a7d709a5-9260-4585-a999-30f6475fb774,683,16
bae351c6-8027-4eb3-81f2-17d3bd7f022d,330,8
b01cfebf-5613-44eb-b750-6da7affc090a,452,3
bf4103ab-e5b7-401c-a351-7cf042772800,129,13
40217e39-b886-4e20-ba00-806000c288cf,547,21
b98ed069-d3df-4178-94e0-0fc403f10f0e,166,1
9c7d5101-8c18-41d7-bf77-3b42943c50b5,955,4
622c47dc-a32e-4544-9a4a-2e9bfdfe74cf,612,11
de792c71-8895-4720-8cbb-57d6e9fadd63,328,8
a9b55b3f-ce1b-4519-997d-11a1df43222f,289,19
75cb44c3-b8fc-478a-98e0-87dfd814de43,67,19
03d42cde-d69e-4273-9e74-5baffa7bbec5,288,7
c82da459-fbfe-4d82-90cd-696e0e974b23,592,12
30d7863f-d6f3-480a-b992-2161d7cd5d89,219,21
3527390a-ccc4-42f9-bf4d-505245710de4,560,13
9b1a4979-75ba-45d0-82f7-da12e4d39c03,847,25
f1a066c1-1356-45e8-8c55-a2a58bbfe2b4,538,16
7153c669-aab0-4e41-97fe-991435eac5cd,436,21
35952f4b-9c16-4eb2-863b-26ed96732faf,730,5
10c82f11-aa86-4bcc-ad81-f52dcacdd4da,657,21
cbcc178e-04b8-4f72-a563-233a9c3966ad,640,23
90b99d11-eec0-400a-89e8-882207853ebf,357,16
fb3ad4b0-f5ac-47d9-9493-fb1f484b5857,459,7
b3d16657-2c28-44d0-a712-d86b9cbde13e,481,20
d3e94ac8-a568-4ce7-88ee-4a14336558aa,69,10
455db18b-e33e-4ca0-bcd9-c524a601cb38,69,20
f037e8b1-257e-4d39-bc1f-735e01c640f9,419,18
4f95a845-422c-4b5d-b3b1-8c175bbae570,267,15
503903d6-33df-4fb3-9363-5e27270e1251,50,13
641585cd-da87-4e73-8048-7af757c6a683,167,22
334423e0-73e8-456c-8ee5-f9ca5412fa26,32,11
f0810325-2fab-4e88-a33c-4cf97d6d9e59,1,25
0111f7c8-f244-436c-a8b8-3cf594161a9b,746,18
3520fc53-0b49-4f74-8de3-87ac6f6d72d2,525,8
f9daf90e-3f25-4b33-8b5d-318a1a3008ea,855,13
65e6b839-6da0-4dc5-b759-1346fda79e78,80,2
13abc36a-fbc9-4262-a3f6-3976fabc8e3b,130,25
fcd25125-09a2-4c6a-a54c-82ee7efcec24,746,1
920655e8-8596-4864-848d-68a748e8d01c,979,1
f2590e6f-1bf6-4bc7-820c-4b2bc046295c,208,11
de034040-6704-4cce-bf98-c6257ea19891,714,8
3ea3f0fa-cd18-4f31-a6b9-9a469d543cb6,935,10
3924ac29-13af-461b-8c19-10910ca91e53,373,24
3dfae601-483c-4222-821f-7dc948175c9d,198,12
2b753d7c-7af0-4a4f-976d-8da5d1f4681b,631,15
cfea3f7f-3ac2-4438-9d86-7d27e64cd3da,459,11
044fc359-19f4-4a3f-ad31-0e1df8acef26,309,19
74801874-a9ec-4e1f-a6ae-bd2f1d79a66a,432,21
71905bbd-d2db-46f7-8228-041db16a5870,897,21
d80a81fb-5163-4cd0-9f68-a1fb43b3cca6,730,5
b5404330-9e2a-409f-ab7d-77ebff6bf8a3,287,14
41bf8b53-5e53-48a3-974a-4e0562793dca,814,13
f3eb87e0-f7cd-4381-a992-df7afaf5888c,886,22
471749f3-d60c-4712-98f7-0943c06d8d57,343,6
947a4d74-e1f2-410e-a36b-65efd193ec18,206,10
5cab2f40-13d8-4a64-98b5-fa2a5838a772,971,16
c661c284-2493-4f1a-83da-48138fe61872,846,13
bc42bffa-6058-48c9-8242-a4b1960550c1,91,8
3eb62443-1c1d-4365-89ba-257d0347ec8d,672,19
bf88f59d-2bc4-456e-8e2a-f2b3129c4075,544,11
1af95281-46cc-45f0-95e8-4ae6a5bf9ae6,504,20
53a8ce3c-528c-431b-98b6-575176e068aa,546,14
72a5d761-b0d6-4b19-8b39-bc9edd564446,281,18
1e8bed3c-d9e4-406e-8d7f-be4dd2e54ca9,98,1
f6750328-4a52-4535-97a7-2b83b0120b3f,932,23
624a690b-c24e-4772-b371-62e2e2c23bbb,115,15
3e763584-01b3-481a-a25b-c444e76a760e,28,25
6b57b11b-bf07-4e90-b1cf-cacd5b2aa140,716,17
9d225a2a-da33-454b-a8aa-cc301a7ff14b,974,11
0f12785d-8ca7-4b71-9f61-3211111b434e,486,17
b50c781c-0bcd-44c8-aedd-5eb92d084958,363,23
c5528410-1b7e-4739-81f9-d641ab15dbb6,450,4
4636fd2d-fc64-4b46-b46a-e8953b2e09ac,196,12
cc23c4b0-c45b-49a7-ac05-ad90ecf78651,682,24
244534d8-0c5c-42a8-bbd7-b002cb6be7eb,747,5
274ccf67-194c-493a-90c9-575e890e9168,656,20
c55b4647-8725-4038-9f3a-431183a37616,850,19
033f785e-4163-4ad2-91aa-cac8aa6434a0,16,2
3832847f-b0d4-418b-9816-68f404a16594,163,21
fb6c2ffc-4e0f-43bb-986a-02cba2e5722d,546,8
33048615-4ace-47dc-bfc0-81813695d1d5,631,13
b2f8064e-1b17-46c6-b56f-23fa17e39552,555,8
95f280f6-2bc9-4910-b29c-24a0c27c388b,959,7
2aa217ec-c0b7-45af-8371-f9401e9fe814,587,8
318e4468-cdb9-4675-8581-4f703391e0fa,645,3
715839fc-4143-44f0-b5aa-f1a97a20ca5e,30,20
d8cc5f57-9f50-4039-9611-9373e94445e8,187,2
4e9b8d8d-bc34-43c6-96c4-206d0a437aba,407,22
6f83a536-72d1-4c33-bf4f-f5b2fc8399af,872,20
cb0dac21-86b6-4edc-ab7a-9c59d703cb49,11,17
d8be43e9-a758-46c0-bd60-077bf72a960e,985,23
b466b407-882f-41bc-9805-3fcea3c6b459,276,13
a403f6c5-7f2d-45a2-85b1-0cb62afbd9bd,24,2
4f21e885-1fb3-45d0-8acc-16e55e24c2b2,150,4
f7cbfe65-add3-4a22-964b-c78c3243e58d,781,9
bf6e77b1-2df3-4389-a363-9084882a4833,181,20
f7420819-4e9d-445d-a4e8-77c4b05f87fb,332,20
b1a9e101-4a5c-4bfb-8f47-80948a2b3013,341,13
e2714d59-4fd8-41fc-8a35-75c3ff9dbe9e,112,20
9e5de2fb-48a0-41c8-a3e7-107d3295df8e,769,18
21b25e29-3810-461b-9ffa-91ef82bdbb21,101,24
4823da1c-3730-4f5d-a8d6-3abdd35b927c,588,16
e88f2905-0f5a-4e8e-aa83-9b764a21b8d6,585,2
42f7ddd5-ba90-4c78-ac8e-ed8b6ad01316,85,23
29939179-0000-4199-b603-04d97b5dd751,259,8
846cafc0-f356-4229-be65-b12836f37d5b,807,5
2cee796e-4490-47dd-953a-2df965a8a28a,277,22
e5d7e6b3-07f1-43a3-91f7-13ae3bb50e23,705,21
ff235089-f376-4096-b177-965e89a13eaa,123,4
18b066cd-2ef0-4839-b93f-f142ec2dc525,939,13
de85b028-8524-4fa5-ae82-167697f199be,49,5
64feeaa7-ec34-406e-b10a-f2941ccce903,767,20
0ebef24b-0938-47a3-b3fc-c4b261bf35b4,56,24
993a2e26-e7fe-4867-a2ab-b38f845cdfda,785,15
9fb025bd-14fb-46d9-9a88-e3a67e849b23,392,21
8c8a3d71-2ac5-48ab-8192-693aadc3cf7a,399,21
45e388b5-645d-4225-a90f-6800ffbb52fb,115,17
5d496c80-90ae-428b-a6f9-63dc284d0449,632,3
6a0b7437-8de4-45d7-86b9-4e5f9ce4d81f,796,4
23f7bbeb-5d72-4ac0-beb0-2e46ed84b0c2,722,5
8cf3aa06-6ee8-4759-8df5-b8e90f56eea4,798,21
92743850-077e-436a-ba19-45741d32fc32,115,11
2f3e437d-00d6-4483-9c77-60bd910b4eab,690,2
465fba49-0e20-4175-a4e4-f1307de88ad6,144,17
f28953a1-76ac-4a5e-a43f-bbfd24510113,651,21
24c50b4a-7ff5-459c-a66b-da7e3669ed91,452,16
5789f445-cf94-4732-a0e7-f70affc18b17,896,5
2249de29-f9d5-4f0b-a102-6ddace356db2,202,24
1eecd8a1-4f19-4a92-a2c2-a2a33cfbec0b,989,25
d762f0a1-d6bb-49ed-8b57-7c07fa6ed68d,579,16
613fe581-41da-4574-94cf-db9bedfeb702,158,15
01f03750-941e-4ee8-be1e-5658d28b34ef,303,6
91b2ca5f-0619-4a43-a821-e1e96c835516,119,16
380ce2bd-0bbb-4e03-9288-4654afcd775d,649,24
65af95f2-241c-40e0-b1a8-eeffc474a118,265,19
28e62814-f45f-4b36-85a3-085f8dfd6cdc,385,14
a18f8be0-6cab-41b3-8942-0972d9f179b0,7,4
8b799a9f-dd05-4b7d-93a4-b593bcaabe60,460,13
52a6e784-cb9e-4120-a3be-48ab0598c5c7,474,2
b2043d60-9b53-4fa5-84dc-a0c6b4f40099,188,10
5b091705-8372-4872-b692-32bd53294545,955,11
0e8445ac-7f34-476e-856c-272ea5dc6e89,189,2
8840518d-e09c-466c-8fb0-76103f6c1002,46,14
34b4d93b-890a-450b-85a8-19c61261b292,764,11
9f72638d-239e-45fb-a42f-e2a707ad7c36,865,14
04c67675-178f-4ee0-81c5-3df7e89e1dc5,852,18
1daf660c-fd33-4feb-9747-f3def4e709ff,611,16
3d5f130a-8e97-487e-a42a-b22bdd674c37,774,8
2e35c423-df3f-4954-b18b-65202a68df14,572,4
6c75006a-d4a2-4fe2-ba00-cf7332f57eb3,896,18
bf5c7103-0978-42b1-be47-25da52a8a0ca,767,11
3da0363a-0245-4b97-9365-433e07b82be6,324,10
07774ea7-e8ae-4e66-b8d3-ccfa7e8534f9,453,10
9adbd4f6-93c2-419d-99f9-38bc9f81be30,512,13
6c2d5d64-83f7-4c6d-a3ed-4419e344681a,380,18
d59002d6-6c01-4098-be7a-4922f320fd5f,99,7
931fc12f-8822-4c04-b5c6-c87914ec2196,45,2
